airport_id,name,city,State,latitude,longitude
1,Hartsfield Jackson Atlanta Intl,Atlanta,GA,33.636719,-84.428067
2,Los Angeles Intl,Los Angeles,CA,33.942536,-118.408075
3,Chicago Ohare Intl,Chicago,IL,41.978603,-87.904842
4,Dallas Fort Worth Intl,Dallas-fort Worth,TX,32.896828,-97.037997
5,John F Kennedy Intl,New York,NY,40.639751,-73.778925
6,Denver Intl,Denver,CO,39.861656,-104.673178
7,San Francisco Intl,San Francisco,CA,37.618972,-122.374889
8,Charlotte Douglas Intl,Charlotte,NC,35.214,-80.943139
9,Mc Carran Intl,Las Vegas,NV,36.080056,-115.15225
10,Phoenix Sky Harbor Intl,Phoenix,AZ,33.434278,-112.011583
11,George Bush Intcntl Houston,Houston,TX,29.984433,-95.341442
12,Miami Intl,Miami,FL,25.79325,-80.290556
13,Seattle Tacoma Intl,Seattle,WA,47.449,-122.309306
14,Newark Liberty Intl,Newark,NJ,40.6925,-74.168667
15,Orlando Intl,Orlando,FL,28.429394,-81.308994
16,Minneapolis St Paul Intl,Minneapolis,MN,44.881956,-93.221767
17,Detroit Metro Wayne Co,Detroit,MI,42.212444,-83.353389
18,General Edward Lawrence Logan Intl,Boston,MA,42.364347,-71.005181
19,Philadelphia Intl,Philadelphia,PA,39.871944,-75.241139
20,La Guardia,New York,NY,40.777245,-73.872608
21,Fort Lauderdale Hollywood Intl,Fort Lauderdale,FL,26.072583,-80.15275
22,Baltimore Washington Intl,Baltimore,MD,39.175361,-76.668333
23,Washington Dulles Intl,Washington,VA,38.944533,-77.455811
24,Chicago Midway Intl,Chicago,IL,41.785972,-87.752417
25,Salt Lake City Intl,Salt Lake City,UT,40.788389,-111.977772
26,Ronald Reagan Washington Natl,Washington,VA,38.852083,-77.037722
27,Honolulu Intl,Honolulu,HI,21.318681,-157.922428
28,San Diego Intl,San Diego,CA,32.733556,-117.189667
29,Tampa Intl,Tampa,FL,27.975472,-82.53325
30,Portland Intl,Portland,OR,45.588722,-122.5975
