,tweet_id,airline_sentiment,airline,negativereason,latitude,longitude,user_timezone
0,570306133677760513,neutral,Virgin America,,0.0,0.0,Eastern Time (US & Canada)
1,570301130888122368,positive,Virgin America,,0.0,0.0,Pacific Time (US & Canada)
2,570301083672813571,neutral,Virgin America,,0.0,0.0,Central Time (US & Canada)
3,570301031407624196,negative,Virgin America,Bad Flight,0.0,0.0,Pacific Time (US & Canada)
4,570300817074462722,negative,Virgin America,Can't Tell,0.0,0.0,Pacific Time (US & Canada)
5,570300767074181121,negative,Virgin America,Can't Tell,0.0,0.0,Pacific Time (US & Canada)
6,570300616901320704,positive,Virgin America,,0.0,0.0,Pacific Time (US & Canada)
7,570300248553349120,neutral,Virgin America,,0.0,0.0,Pacific Time (US & Canada)
8,570299953286942721,positive,Virgin America,,0.0,0.0,Pacific Time (US & Canada)
9,570295459631263746,positive,Virgin America,,0.0,0.0,Eastern Time (US & Canada)
10,570294189143031808,neutral,Virgin America,,0.0,0.0,Eastern Time (US & Canada)
11,570289724453216256,positive,Virgin America,,0.0,0.0,America/New_York
12,570289584061480960,positive,Virgin America,,0.0,0.0,America/New_York
13,570287408438120448,positive,Virgin America,,0.0,0.0,Eastern Time (US & Canada)
14,570285904809598977,positive,Virgin America,,0.0,0.0,Pacific Time (US & Canada)
15,570282469121007616,negative,Virgin America,Late Flight,0.0,0.0,Pacific Time (US & Canada)
16,570277724385734656,positive,Virgin America,,0.0,0.0,Pacific Time (US & Canada)
17,570276917301137409,negative,Virgin America,Bad Flight,0.0,0.0,Eastern Time (US & Canada)
18,570270684619923457,positive,Virgin America,,0.0,0.0,Atlantic Time (Canada)
19,570267956648792064,positive,Virgin America,,0.0,0.0,Quito
20,570265883513384960,negative,Virgin America,Can't Tell,0.0,0.0,
21,570264145116819457,positive,Virgin America,,40.74804263,-73.99295302,
22,570259420287868928,positive,Virgin America,,0.0,0.0,Pacific Time (US & Canada)
23,570258822297579520,neutral,Virgin America,,0.0,0.0,Eastern Time (US & Canada)
24,570256553502068736,negative,Virgin America,Customer Service Issue,0.0,0.0,Mountain Time (US & Canada)
25,570249102404923392,negative,Virgin America,Customer Service Issue,0.0,0.0,
26,570239632807370753,negative,Virgin America,Can't Tell,0.0,0.0,
27,570217831557677057,neutral,Virgin America,,0.0,0.0,Central Time (US & Canada)
28,570207886493782019,negative,Virgin America,Bad Flight,42.361016,-71.02000488,
