,tweet_id,airline_sentiment,airline,negativereason,latitude,longitude
1,5.69708E+17,neutral,United,Reason NA,-38.0271635,145.2112317
2,5.69708E+17,neutral,United,Reason NA,-38.0269936,145.2110041
3,5.69605E+17,neutral,United,Reason NA,-37.8536992,145.1106176
4,5.6824E+17,neutral,United,Reason NA,-33.87144962,151.2082128
5,5.68281E+17,neutral,United,Reason NA,1.3523078,103.8637764
6,5.69574E+17,positive,Delta,Reason NA,4.69840554,-74.14134323
7,5.69914E+17,neutral,American,Reason NA,10.42269832,-75.54540857
8,5.69844E+17,neutral,Delta,Reason NA,13.07761455,-59.60542973
9,5.69836E+17,negative,Delta,Customer Service Issue,13.07787514,-59.6049865
10,5.68356E+17,neutral,United,Reason NA,13.71241507,100.6046854
11,5.69619E+17,negative,American,Customer Service Issue,15.1659317,120.5830548
12,5.68041E+17,positive,Delta,Reason NA,18.22245647,-63.00369733
13,5.68041E+17,positive,Delta,Reason NA,18.22245647,-63.00369733
14,5.68039E+17,positive,Delta,Reason NA,18.22245747,-63.00369895
15,5.69276E+17,negative,Delta,longlines,18.43615031,-66.00573829
16,5.67853E+17,negative,Delta,Can't Tell,18.44643543,-66.28345755
17,5.67845E+17,negative,Delta,Can't Tell,18.4465457,-66.28316651
18,5.69237E+17,negative,United,Can't Tell,18.47066766,-68.40014139
19,5.69121E+17,neutral,United,Reason NA,18.4710809,-68.39995916
20,5.69128E+17,negative,United,Customer Service Issue,18.47233225,-68.39941165
21,5.6914E+17,negative,United,Customer Service Issue,18.47240961,-68.39941149
22,5.69139E+17,negative,United,Can't Tell,18.4729405,-68.39820768
23,5.69262E+17,negative,United,Damaged Luggage,19.41622708,-99.16143525
24,5.69276E+17,positive,United,Reason NA,19.43010575,-99.18988829
25,5.69956E+17,negative,United,Lost Luggage,19.43493094,-99.18877967
26,5.70305E+17,negative,United,Can't Tell,19.43706642,-99.07927123
27,5.69809E+17,positive,United,Reason NA,20.0615871,110.1839043
28,5.67688E+17,neutral,Southwest,Reason NA,21.05483165,-86.78164351
29,5.69643E+17,negative,US Airways,Customer Service Issue,21.15192481,-86.82441431
30,5.69845E+17,negative,US Airways,Customer Service Issue,21.15194085,-86.82443877
31,5.69712E+17,negative,American,Can't Tell,21.32879526,-157.9184656
32,5.69346E+17,neutral,United,Reason NA,21.32911863,-157.9174917
33,5.69475E+17,neutral,United,Reason NA,22.31355693,113.9263677
34,5.69718E+17,positive,American,Reason NA,24.55401318,-81.80300774
35,5.69497E+17,neutral,Delta,Reason NA,25.05152514,-77.46620117
36,5.68814E+17,negative,United,Customer Service Issue,25.0776918,55.13824067
37,5.68821E+17,negative,United,Flight Booking Problems,25.07772121,55.13822432
38,5.68826E+17,neutral,United,Reason NA,25.0779704,55.13808289
39,5.68832E+17,neutral,United,Reason NA,25.07815796,55.13798672
40,5.69185E+17,negative,United,Customer Service Issue,25.08347991,-77.3225763
41,5.68094E+17,negative,Southwest,Customer Service Issue,25.7661538,-80.2517994
42,5.6947E+17,negative,US Airways,Late Flight,25.7789509,-80.1353866
43,5.6947E+17,negative,US Airways,Customer Service Issue,25.7789761,-80.1353923
44,5.69622E+17,positive,American,Reason NA,25.79101279,-80.28861743
45,5.69554E+17,positive,United,Reason NA,25.79104444,-80.27338351
46,5.70036E+17,negative,American,Flight Attendant Complaints,25.79667815,-80.28050395
47,5.69821E+17,neutral,American,Reason NA,25.79729334,-80.28082058
48,5.69705E+17,negative,American,longlines,25.7977857,-80.2809721
49,5.69686E+17,negative,American,longlines,25.79939784,-80.27038889
50,5.69674E+17,negative,American,Flight Booking Problems,25.8058656,-80.1260481
51,5.69676E+17,negative,American,Customer Service Issue,25.8058666,-80.126062
52,5.69676E+17,negative,American,Customer Service Issue,25.8058675,-80.1260541
53,5.69841E+17,negative,American,Flight Booking Problems,25.8058716,-80.1255332
54,5.67809E+17,negative,US Airways,Customer Service Issue,25.8801693,-80.14141202
55,5.69083E+17,negative,Virgin America,Bad Flight,26.06726717,-80.14433663
56,5.69847E+17,negative,Delta,Flight Attendant Complaints,26.0713458,-80.146874
57,5.6893E+17,positive,Delta,Reason NA,26.07159064,-80.14770942
58,5.69293E+17,positive,United,Reason NA,26.07294988,-80.14147128
59,5.70002E+17,negative,United,Can't Tell,26.07324041,-80.14510971
60,5.69848E+17,negative,Virgin America,Late Flight,26.074379,-80.1416831
61,5.69996E+17,negative,United,Customer Service Issue,26.07694041,-80.13546475
62,5.68802E+17,neutral,Southwest,Reason NA,26.08232307,-80.16234879
63,5.69927E+17,positive,Delta,Reason NA,26.37067479,-80.10215823
64,5.67778E+17,negative,United,Cancelled Flight,26.37852293,-81.78472152
65,5.69212E+17,negative,Southwest,Cancelled Flight,26.52778866,-81.75533052
66,5.69839E+17,neutral,American,Reason NA,27.69523415,-97.34856142
67,5.69832E+17,negative,American,Cancelled Flight,27.69540747,-97.34836874
68,5.68149E+17,neutral,Southwest,Reason NA,27.9344812,-82.47401175
69,5.67832E+17,positive,US Airways,Reason NA,27.96879606,-82.55192621
70,5.69717E+17,neutral,United,Reason NA,27.9746606,-82.5320172
71,5.70242E+17,negative,American,Late Flight,27.97575376,-82.53714356
72,5.70234E+17,negative,American,Flight Booking Problems,27.97628758,-82.53727303
73,5.67921E+17,negative,United,Can't Tell,27.98622757,-82.5414547
74,5.70249E+17,neutral,American,Reason NA,28.02034806,-82.52234293
75,5.68832E+17,negative,United,Customer Service Issue,28.34834331,-81.48581918
76,5.69917E+17,negative,American,Flight Booking Problems,28.35144756,-81.54358392
77,5.69155E+17,positive,Delta,Reason NA,28.42301907,-81.29654204
78,5.68067E+17,positive,Delta,Reason NA,28.4261453,-81.2998841
79,5.69293E+17,negative,Southwest,Customer Service Issue,28.43278708,-81.46990923
80,5.68417E+17,positive,Southwest,Reason NA,28.43585235,-81.30356273
81,5.69336E+17,neutral,Southwest,Reason NA,28.44752379,-81.46716587
82,5.69985E+17,negative,United,Lost Luggage,28.62111274,-81.29294408
83,5.69219E+17,neutral,Southwest,Reason NA,29.6526846,-95.2787367
84,5.6821E+17,positive,Southwest,Reason NA,29.65275101,-95.27596615
85,5.69667E+17,positive,Southwest,Reason NA,29.65283375,-95.275749
86,5.6787E+17,negative,Southwest,Cancelled Flight,29.65350715,-95.26679505
87,5.69964E+17,negative,United,Can't Tell,29.7420124,-95.5606921
88,5.6995E+17,negative,United,Bad Flight,29.7421541,-95.5600896
89,5.69114E+17,negative,United,Cancelled Flight,29.81532281,-95.40830048
90,5.6811E+17,negative,United,Customer Service Issue,29.97877958,-95.33246329
91,5.70236E+17,negative,United,Bad Flight,29.98340611,-95.33682231
92,5.70236E+17,negative,United,Customer Service Issue,29.98350019,-95.33675519
93,5.70235E+17,negative,United,Customer Service Issue,29.98350283,-95.33678993
94,5.70235E+17,negative,United,Can't Tell,29.98372726,-95.33734532
95,5.70236E+17,negative,United,Customer Service Issue,29.98377529,-95.33756559
96,5.6971E+17,negative,United,Late Flight,29.98378319,-95.33473143
97,5.68939E+17,negative,United,Late Flight,29.98384194,-95.33664018
98,5.70235E+17,negative,United,Flight Attendant Complaints,29.98384925,-95.3374653
99,5.70236E+17,neutral,United,Reason NA,29.98386923,-95.33729612
100,5.68215E+17,positive,United,Reason NA,29.98425706,-95.34407392
101,5.68492E+17,negative,US Airways,Bad Flight,29.98442078,-90.25340271
102,5.68804E+17,positive,United,Reason NA,29.98445184,-95.33224657
103,5.68916E+17,negative,United,Customer Service Issue,29.98454639,-95.33856899
104,5.68492E+17,negative,Southwest,Can't Tell,29.98473682,-90.25978334
105,5.68975E+17,negative,United,Late Flight,29.98498519,-95.3338971
106,5.70205E+17,negative,United,Can't Tell,29.98521945,-90.25215941
107,5.68092E+17,negative,United,Can't Tell,29.98605741,-90.25189405
108,5.69691E+17,negative,United,Bad Flight,29.9866693,-95.3382794
109,5.70205E+17,negative,United,Flight Attendant Complaints,29.98698389,-90.25081767
110,5.70205E+17,negative,United,Bad Flight,29.98699328,-90.25081691
111,5.69568E+17,negative,United,Cancelled Flight,29.98704632,-95.3378275
112,5.69568E+17,negative,United,Customer Service Issue,29.98707518,-95.33783524
113,5.68482E+17,negative,US Airways,Customer Service Issue,29.98730979,-90.25605983
114,5.70189E+17,negative,United,Customer Service Issue,29.987463,-90.25860012
115,5.70189E+17,negative,United,Bad Flight,29.98746669,-90.25862007
116,5.69933E+17,negative,United,Cancelled Flight,29.98788997,-95.34470061
117,5.70201E+17,negative,United,Bad Flight,29.9880285,-90.25781369
118,5.69514E+17,negative,United,Customer Service Issue,29.98870677,-95.33845443
119,5.69514E+17,neutral,United,Reason NA,29.98872603,-95.3384666
120,5.6991E+17,negative,United,Customer Service Issue,29.98877308,-95.33846478
121,5.70202E+17,negative,United,Can't Tell,29.98878092,-90.25836915
122,5.70078E+17,negative,US Airways,Customer Service Issue,29.99135326,-95.52122091
123,5.68497E+17,negative,US Airways,Customer Service Issue,29.99562368,-90.24376862
124,5.70044E+17,negative,US Airways,Lost Luggage,29.99653598,-95.53874781
125,5.68487E+17,negative,US Airways,Cancelled Flight,29.99894707,-90.27229299
126,5.67821E+17,positive,Southwest,Reason NA,30.0554953,-95.1659332
127,5.69716E+17,negative,American,Lost Luggage,30.0555099,-95.165959
128,5.67687E+17,neutral,United,Reason NA,30.09009009,-95.64621813
129,5.68816E+17,neutral,United,Reason NA,30.15481071,-95.43911291
130,5.68551E+17,negative,Southwest,Flight Booking Problems,30.20650347,-97.74889927
131,5.68495E+17,neutral,Southwest,Reason NA,30.20654541,-97.74890436
132,5.69185E+17,neutral,Southwest,Reason NA,30.26196639,-97.75945775
133,5.69592E+17,negative,Southwest,Bad Flight,30.27027027,-97.74064527
134,5.69702E+17,neutral,American,Reason NA,30.2772503,-81.38732586
135,5.68969E+17,positive,Southwest,Reason NA,30.30630631,-97.71394697
136,5.70119E+17,negative,American,Lost Luggage,30.32398902,-97.71081198
137,5.69696E+17,positive,American,Reason NA,30.33730037,-97.74637026
138,5.67722E+17,negative,Southwest,Customer Service Issue,30.35571967,-87.27675562
139,5.68105E+17,positive,Southwest,Reason NA,30.43823709,-97.76632883
140,5.69926E+17,neutral,American,Reason NA,30.441566,-84.281745
141,5.68083E+17,negative,US Airways,Late Flight,30.44405028,-84.23614305
142,5.6808E+17,negative,US Airways,Customer Service Issue,30.44414315,-84.23627649
143,5.69222E+17,neutral,United,Reason NA,31.27777976,121.5934062
144,5.69967E+17,negative,American,Late Flight,31.93684422,-102.2075368
